,wl,pure,salty,cdom,bbw,Kd
63,426.0,0.0036049999999999997,0.0036049999999999997,1.1948512166123582,0.0025215398527507205,0.007550538326130452
64,428.0,0.00376,0.00376,1.165594242728283,0.00247181989470846,0.00763421272481084
65,430.0,0.0039299999999999995,0.0039299999999999995,1.1370784530668263,0.0024220999366662,0.007733228333757619
66,432.0,0.004090000000000001,0.004090000000000001,1.1092609180756476,0.0023753799505357165,0.007826266036766462
67,434.0,0.004285,0.004285,1.0821691508846316,0.002328659968043212,0.007955409521592523
68,436.0,0.004525,0.004525,1.055796096376024,0.0022833599705336383,0.0081331945671195
69,438.0,0.004894999999999999,0.004894999999999999,1.030210120524429,0.0022394799616449745,0.008447699390521769
70,440.0,0.00532,0.00532,1.00532,0.002195599952756311,0.008818612545491926
71,442.0,0.00583,0.00583,0.9811399120283326,0.0021542799659073353,0.009280956948544625
72,444.0,0.006345,0.006345,0.9575744245007141,0.0021129599772393703,0.009747679159290267
73,446.0,0.0069900000000000006,0.0069900000000000006,0.9347334863285529,0.002072859973850427,0.01034997426146979
74,448.0,0.00757,0.00759121,0.9124286280359595,0.002033979955740506,0.010886123519806407
75,450.0,0.008105000000000001,0.007995450000000001,0.8904923525845955,0.0019950999376305845,0.011374976724899365
76,452.0,0.008435,0.00839545,0.8691034264250578,0.001958459986781236,0.011655314799413112
77,454.0,0.008665,0.008695555,0.8481525757692073,0.0019218200322939083,0.011832152694464394
78,456.0,0.00884,0.008738850000000001,0.8274696030779818,0.001886240066596656,0.01195379667893726
79,458.0,0.00901,0.0089113,0.807427518759377,0.0018517200824135216,0.01207183680655016
80,460.0,0.009170000000000001,0.009140635000000001,0.7879414180714048,0.001817200098230387,0.012179391185172857
81,462.0,0.009405,0.009379555,0.7689516782249685,0.0017845999900600873,0.012367072599465196
82,464.0,0.00964,0.00956195,0.7503801706817179,0.001751999880070798,0.012554493758711744
83,466.0,0.009905,0.010031700000000001,0.7325590536420722,0.0017202998751599807,0.012773971705890605
84,468.0,0.010125,0.0101873,0.7148753897187134,0.0016894999680516776,0.012948470678214294
85,470.0,0.010445,0.010442676,0.6977319547909723,0.0016587000609433744,0.013225348520257533
86,472.0,0.010794999999999999,0.01079484075,0.6811148867856394,0.0016296201156364987,0.013535544657976607
87,474.0,0.011144999999999999,0.011079549999999999,0.6648493351298473,0.0016005401739676017,0.01384538859035527
88,476.0,0.011519999999999999,0.011590699999999999,0.6492188516217733,0.0015722601674497128,0.014181846480462652
89,478.0,0.011895,0.01189997,0.63378502646502,0.0015447800979018211,0.01451929699428368
90,480.0,0.01227,0.0123421,0.6188727597126334,0.0015173000283539295,0.014856392587769888
91,482.0,0.01268,0.01261945,0.6041748143668151,0.001491260016337037,0.01523139865921462
92,484.0,0.013095,0.012900050000000001,0.5898498603804867,0.0014652200043201447,0.015611147693626625
93,486.0,0.013525,0.013332150000000001,0.5760370188069557,0.0014398999974218896,0.016007094386436615
94,488.0,0.014075,0.0142206,0.5630322360940264,0.0014152999956422718,0.016526478798790517
95,490.0,0.01476,0.0147061,0.5499675285189902,0.001390699993862654,0.017183201033078275
96,492.0,0.015605,0.015553200000000001,0.5375989767610161,0.0013673400044353912,0.01800473813723244
97,494.0,0.016620000000000003,0.016637360000000004,0.5257937806075492,0.0013439800131891388,0.018998891980044473
98,496.0,0.017849999999999998,0.017734849999999996,0.5143201537914095,0.0013212600260885665,0.020212394906503
99,498.0,0.01934,0.019360615,0.5036851839553624,0.0012991800449526636,0.021690755914144672
100,500.0,0.020784999999999998,0.020672649999999997,0.4930392027410147,0.0012771000638167607,0.023121926790600794
101,502.0,0.022445,0.0224009,0.4831046809989658,0.0012561000421555946,0.024772524847635553
