station,pheopigment_mg_m3,chlorophyll_a_mg_m3,chlorophyll_c_mg_m3,chlorophyll_b_mg_m3,peridinin_mg_m3,caroten_mg_m3,lutein_mg_m3,hexanoyloxyfucoxanthin_19_mg_m3,butanoyloxyfucoxanthin_19_mg_m3,fucoxanthin_mg_m3,alloxanthin_mg_m3,zeaxanthin_mg_m3,neoxanthin_mg_m3,violaxanthin_mg_m3,diatoxanthin_mg_m3,diadinoxanthin_mg_m3,prasixanthin_mg_m3
C3006000,0.163928,4.841883,0.319744,0.35402,0.197754,0.237563,0,0.380989,0.018187,1.938552,0.089779,0,0,0,0.097807,0.66196,0
C3007000,0.016374,1.172863,0.081007,0.071024,0.035109,0.068279,0,0.165977,0.012746,0.355187,0.015427,0,0,0,0.038027,0.181746,0
C3008000,0.022031,0.809974,0.073702,0.039309,0.016306,0.044632,0,0.212584,0.009075,0.204256,0.012284,0.079397,0,0,0.03237,0.804382,0
C3009000,0.080577,4.131153,0.287015,0.283656,0.13038,0.206913,0,0.332905,0.016569,1.576639,0.072339,0.394506,0,0,0.191155,0.56331,0
C3010000,0.034277,4.328948,0.246319,0.402031,0.156826,0.18742,0,0.297849,0,1.425962,0.070581,0.400568,0,0,0.129498,0.563027,0
C3011000,0.25071,7.116716,0.749706,0.257958,0.064383,0.311054,0,0.402644,0.020976,3.062848,0.112114,0.318868,0,0,0.15646,0.717664,0
C3012000,0.376235,6.011414,0.36133,0.235872,0.054436,0.244601,0,0.273734,0.017037,2.423564,0.107063,0.299608,0,0,0.133125,0.592847,0
C3013000,0.743127,10.7272,0.517799,0.215784,0,0.351072,0.10774,0.202939,0,4.404007,0.251302,0.229782,0,0,0.186162,0.789914,0
C3014000,0.163411,1.397772,0.345647,0.256437,0.098551,0.185326,0,0.346237,0.018765,1.48254,0.128583,0.27431,0,0,0.080726,0.411391,0
C3015000,0.036836,3.16131,0.214427,0.159615,0.088567,0.147558,0,0.283387,0.015084,1.288598,0.052959,0.297713,0,0,0.110154,0.498175,0
C3016000,0.031918,2.559856,0.155839,0.116545,0.097751,0.109681,0,0.172732,0,0.880862,0.05146,0.293694,0,0,0.146204,0.288152,0
C3017000,0.063786,3.223186,0.171386,0.259936,0.079021,0.154073,0,0.256666,0.010392,1.352759,0.072555,0.394779,0,0,0.199095,0.360909,0
C3018000,0.086432,4.006944,0.247014,0.362753,0.177933,0.199216,0,0.334999,0.019941,1.326493,0.058369,0.429776,0,0,0.085379,0.562279,0
C3019000,0.065152,2.350966,0.12607,0.137051,0.094761,0.141853,0,0.222145,0.010682,0.678102,0.049062,0.332537,0,0,0.131804,0.310709,0
C3020000,0.12999,3.184164,0.212404,0.237892,0.235511,0.178616,0,0.291614,0.016417,0.760263,0.099542,0.445615,0,0,0.119391,0.35885,0
